order_id,order_date,customer_id,region,city,channel,payment_method,product_id,product_name,category,quantity,unit_price,discount,revenue,cost,profit
500000,2023-01-01,10130,East,Kolkata,Retail Store,Credit Card,1006,Mixer Grinder,Home Appliances,1,11716.14,0.02,11481.82,8709.57,2772.25
500001,2023-01-01,10474,North,Jaipur,Retail Store,Cash,1014,Phone Case,Accessories,1,2877.43,0.15,2445.82,1730.12,715.7
500002,2023-01-01,10831,East,Bhubaneswar,Online,Cash,1013,Charging Cable,Accessories,1,1849.37,0.06,1738.41,1315.48,422.93
500003,2023-01-01,10508,South,Hyderabad,Retail Store,UPI,1007,Air Purifier,Home Appliances,1,10198.08,0.06,9586.2,8045.78,1540.42
500004,2023-01-01,10702,West,Ahmedabad,Distributor,UPI,1009,Vacuum Cleaner,Home Appliances,1,8204.64,0.12,7220.08,6297.96,922.12
500005,2023-01-01,11016,West,Surat,Distributor,Net Banking,1003,Earbuds,Electronics,1,30169.27,0.08,27755.73,22068.94,5686.79
500006,2023-01-01,11064,West,Mumbai,Online,UPI,1010,Water Purifier,Home Appliances,1,10618.08,0.12,9343.91,7820.45,1523.46
500007,2023-01-01,11162,South,Hyderabad,Online,Cash,1005,Tablet,Electronics,1,20261.55,0.1,18235.4,14602.86,3632.54
500008,2023-01-01,10134,North,Lucknow,Retail Store,Debit Card,1005,Tablet,Electronics,1,23549.84,0.04,22607.85,17310.61,5297.24
500009,2023-01-01,10960,West,Surat,Online,UPI,1014,Phone Case,Accessories,2,1336.2,0.01,2645.68,1954.4,691.28
500010,2023-01-01,10392,South,Chennai,Retail Store,Debit Card,1004,Smartwatch,Electronics,1,35468.04,0.09,32275.92,27813.8,4462.12
500011,2023-01-01,10484,East,Bhubaneswar,Online,UPI,1008,Microwave,Home Appliances,1,12261.14,0.06,11525.47,9083.87,2441.6
500012,2023-01-01,10681,North,Delhi,Online,UPI,1014,Phone Case,Accessories,4,2081.45,0.1,7493.22,6036.72,1456.5
500013,2023-01-01,10189,West,Mumbai,Online,Credit Card,1007,Air Purifier,Home Appliances,1,10755.71,0.0,10755.71,8764.03,1991.68
500014,2023-01-01,10317,North,Delhi,Retail Store,UPI,1011,Power Bank,Accessories,2,1190.37,0.02,2333.13,1499.0,834.13
500015,2023-01-01,10441,North,Chandigarh,Online,UPI,1006,Mixer Grinder,Home Appliances,1,10550.63,0.04,10128.6,8150.93,1977.67
500016,2023-01-01,10384,West,Pune,Retail Store,Debit Card,1005,Tablet,Electronics,1,21907.64,0.07,20374.11,16756.26,3617.85
500017,2023-01-01,10400,North,Jaipur,Online,Credit Card,1012,Bluetooth Speaker,Accessories,1,3295.24,0.13,2866.86,2025.1,841.76
500018,2023-01-01,10186,East,Guwahati,Online,Cash,1009,Vacuum Cleaner,Home Appliances,1,15654.15,0.05,14871.44,12582.57,2288.87
500019,2023-01-01,11171,North,Delhi,Retail Store,UPI,1002,Laptop,Electronics,1,30026.9,0.02,29426.36,24779.25,4647.11
500020,2023-01-01,10472,East,Guwahati,Distributor,Credit Card,1001,Smartphone,Electronics,1,33742.58,0.07,31380.6,27258.6,4122.0
500021,2023-01-01,10880,North,Chandigarh,Retail Store,UPI,1001,Smartphone,Electronics,1,32307.02,0.1,29076.32,25592.85,3483.47
500022,2023-01-01,10815,North,Lucknow,Distributor,Credit Card,1005,Tablet,Electronics,1,23971.38,0.08,22053.67,18128.44,3925.23
500023,2023-01-02,10337,West,Mumbai,Online,Net Banking,1011,Power Bank,Accessories,1,2175.84,0.03,2110.56,1307.49,803.07
500024,2023-01-02,11158,South,Chennai,Retail Store,UPI,1004,Smartwatch,Electronics,1,18177.23,0.11,16177.73,13856.54,2321.19
500025,2023-01-02,10037,East,Guwahati,Retail Store,UPI,1004,Smartwatch,Electronics,1,15410.9,0.03,14948.57,11584.66,3363.91
