customer_id,region,plan_type,contract_type,internet_service,tenure_months,monthly_charges,total_charges,auto_pay,support_tickets,partner,dependents,satisfaction_score,last_interaction_days,is_churn
20000,North,Standard,Monthly,Fiber,46,299.67,14200.11,Yes,4,No,No,3,38,0
20001,South,Basic,Monthly,DSL,3,212.81,658.57,Yes,0,Yes,No,3,84,0
20002,East,Standard,Quarterly,Fiber,29,321.36,9293.77,No,0,Yes,No,3,49,0
20003,West,Premium,Quarterly,Fiber,35,332.55,12094.89,No,0,Yes,Yes,2,79,1
20004,North,Basic,Monthly,Fiber,39,279.72,11975.81,No,1,Yes,No,3,18,0
20005,North,Standard,Quarterly,DSL,18,265.93,5253.91,Yes,0,No,No,4,66,0
20006,East,Premium,Monthly,Fiber,20,340.03,7382.14,No,0,Yes,No,4,10,1
20007,South,Premium,Monthly,Fiber,43,326.35,13786.36,No,0,No,Yes,3,37,0
20008,West,Standard,Quarterly,DSL,60,244.04,14870.93,Yes,0,No,No,2,89,1
20009,East,Standard,Annual,DSL,58,258.23,16115.7,Yes,2,Yes,No,2,18,0
20010,East,Basic,Monthly,DSL,23,256.69,6041.55,Yes,1,Yes,No,3,39,0
20011,South,Premium,Annual,Fiber,34,338.58,11322.81,No,0,Yes,No,2,21,0
20012,West,Standard,Monthly,Fiber,33,314.56,10358.02,Yes,3,Yes,No,4,69,0
20013,East,Basic,Quarterly,None,50,210.07,11147.13,Yes,3,No,No,5,83,0
20014,West,Basic,Monthly,DSL,48,208.05,10291.34,Yes,2,Yes,No,3,71,1
20015,South,Basic,Quarterly,Fiber,10,281.28,2923.97,Yes,1,No,Yes,3,82,0
20016,West,Standard,Annual,None,33,230.99,8032.54,No,0,Yes,No,4,79,0
20017,West,Standard,Monthly,Fiber,47,284.85,14120.46,Yes,1,Yes,No,3,34,0
20018,East,Basic,Quarterly,DSL,33,217.48,7030.88,Yes,2,Yes,Yes,5,47,0
20019,South,Basic,Monthly,None,48,207.11,9932.77,Yes,2,No,No,3,52,1
20020,North,Standard,Monthly,Fiber,26,289.09,7019.89,No,1,Yes,No,4,28,0
20021,East,Basic,Annual,Fiber,20,289.14,6141.38,No,0,Yes,Yes,3,9,0
20022,North,Standard,Quarterly,Fiber,15,294.82,4718.99,Yes,0,Yes,Yes,4,10,0
20023,North,Premium,Monthly,DSL,37,287.28,11003.54,No,1,No,No,3,28,0
20024,South,Basic,Monthly,DSL,33,229.96,8141.62,Yes,0,No,No,5,7,0
20025,West,Basic,Monthly,DSL,17,244.16,3934.77,No,1,No,No,4,87,0
20026,South,Basic,Monthly,Fiber,5,258.04,1337.85,No,1,No,No,3,50,0
20027,East,Standard,Monthly,Fiber,50,268.29,12857.64,Yes,1,No,Yes,4,8,0
20028,West,Basic,Quarterly,Fiber,56,264.77,13915.05,No,1,No,Yes,2,38,0
20029,West,Premium,Monthly,Fiber,4,325.12,1200.35,No,0,Yes,No,3,36,0
20030,South,Standard,Monthly,Fiber,3,284.81,834.23,Yes,1,Yes,Yes,2,2,0
